日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成份券代码Constituent Code,成份券名称Constituent Name,成份券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng)
20251231,000510,中证A500,CSI A500,002064,华峰化学,"Huafon Chemical Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002065,东华软件,"DHC Software Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002074,国轩高科,"GUOXUAN HIGH-TECH CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002078,太阳纸业,Shan Dong Sun Paper Industry Joint Stock Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002085,万丰奥威,"Zhejiang Wanfeng Auto Wheel Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002091,江苏国泰,"Jiangsu Guotai International Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002120,韵达股份,"YUNDA Holding Group CO., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002128,电投能源,INNER MONGOLIA DIAN TOU ENERGY CORPORATION LIMITED,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002129,TCL中环,"TCL Zhonghuan Renewable Energy Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002130,沃尔核材,Shenzhen Woer Heat-Shrinkable Material Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002131,利欧股份,"LEO GROUP CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002138,顺络电子,Shenzhen Sunlord Electronics Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002145,钛能化学,"Tinergy Chemical Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002152,广电运通,GRG Banking Equipment Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002155,湖南黄金,Hunan Gold Corporation Limited,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002156,通富微电,"TongFu Microelectronics Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002176,江特电机,Jiangxi Special Electric Motor Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002179,中航光电,"Jonhon Optronic Technology Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002180,纳思达,Ninestar Corporation,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002185,华天科技,Tianshui Huatian Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002195,岩山科技,"Shanghai Stonehill Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20251231,000510,中证A500,CSI A500,002202,金风科技,"GOLDWIND SCIENCE & TECHNOLOGY CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
